2021-06-04T16:29:25.114Z [AUDIT] Token created by 'anonymous': tokenId='6d2011dd-438b-483f-ab53-faf1a961a898', issuer='jfrou@01f7bxpwt3bxgstp75wx9ybgem', subject='jfrou@01f7bxpwt3bxgstp75wx9ybgem', expiry=none, refreshable=false
2021-06-04T16:35:18.119Z [AUDIT] Token created by 'jffe@000': tokenId='bedc6029-a829-4c43-978c-e13e01b7c810', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825118119, refreshable=false
2021-06-04T16:40:34.913Z [AUDIT] Token created by 'jffe@000': tokenId='d294466e-c14c-4fff-add8-9efd868c5946', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825434913, refreshable=false
2021-06-04T16:40:34.913Z [AUDIT] Token created by 'jffe@000': tokenId='6fbe9838-f2f4-4478-9e61-42be5562bbf6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825434913, refreshable=false
2021-06-04T16:40:34.921Z [AUDIT] Token created by 'jffe@000': tokenId='47b806a6-ee3a-4157-aefb-a13e6b4b4b8d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825434921, refreshable=false
2021-06-04T16:40:42.686Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='503cf783-a29e-448b-83f6-bcfafc0722f4', tokenId='b72e52c5-58ee-408f-b0e0-1f41e4292c00', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826642668, refreshable=true
2021-06-04T16:40:47.773Z [AUDIT] Token created by 'jffe@000': tokenId='4fb1f1ef-8627-4800-8e38-8ceef06c34ae', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825447773, refreshable=false
2021-06-04T16:45:17.967Z [AUDIT] Token created by 'jffe@000': tokenId='5b05bcb1-6272-4357-8d2f-87223a8dc938', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825717967, refreshable=false
2021-06-04T16:45:17.967Z [AUDIT] Token created by 'jffe@000': tokenId='be189a4e-900c-4f6a-b1b2-90d09168e3c9', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825717967, refreshable=false
2021-06-04T16:45:17.970Z [AUDIT] Token created by 'jffe@000': tokenId='da698f74-2024-4bd7-9014-0ab3976ef1a2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825717970, refreshable=false
2021-06-04T16:45:17.973Z [AUDIT] Token created by 'jffe@000': tokenId='9235fe2e-0633-4cff-a9f6-0d8d82bbc7ac', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825717972, refreshable=false
2021-06-04T16:45:17.987Z [AUDIT] Token created by 'jffe@000': tokenId='8a492be3-2034-40c4-8316-474670d9325f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825717986, refreshable=false
2021-06-04T16:45:44.094Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='b72e52c5-58ee-408f-b0e0-1f41e4292c00', tokenId='d7b1a349-cd00-44f8-81ff-263ab5fc9fd1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826944086, refreshable=true
2021-06-04T16:46:18.481Z [AUDIT] Token created by 'jffe@000': tokenId='e48eeb43-d79d-4871-ad5b-fea0ddb4eed6', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622825778480, refreshable=false
2021-06-04T16:50:35.073Z [AUDIT] Token created by 'jffe@000': tokenId='0c75f360-e51b-4007-ac7d-a9da87c02ace', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826035073, refreshable=false
2021-06-04T16:50:35.074Z [AUDIT] Token created by 'jffe@000': tokenId='89df0609-ba0e-470a-8e37-5e91373c9061', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826035073, refreshable=false
2021-06-04T16:50:35.082Z [AUDIT] Token created by 'jffe@000': tokenId='e6c010b6-c09a-4d0b-b55a-1fe3efc59b30', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826035082, refreshable=false
2021-06-04T16:55:50.536Z [AUDIT] Token created by 'jffe@000': tokenId='c430aad5-49ea-4351-950e-ba806533a95e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826350536, refreshable=false
2021-06-04T17:00:35.180Z [AUDIT] Token created by 'jffe@000': tokenId='7b24e6f2-4e04-43fd-89a2-ca706762e30d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826635180, refreshable=false
2021-06-04T17:00:35.180Z [AUDIT] Token created by 'jffe@000': tokenId='dd18e279-99ff-40b2-9454-0daa22b4c236', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826635180, refreshable=false
2021-06-04T17:00:35.184Z [AUDIT] Token created by 'jffe@000': tokenId='4ef877ac-3de4-4e70-bc9d-a93558942690', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826635184, refreshable=false
2021-06-04T17:05:50.537Z [AUDIT] Token created by 'jffe@000': tokenId='5c4271f6-a085-45a7-83b9-6f3f9bcc4f98', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826950537, refreshable=false
